orbit,E7_E7_1,E7_E7_2,E7_E7_3,E7_E7_4,E7_E7_5,E7_E7_6,E7_E7_7,E7_E7_8,E7_E7_9,E7_E7_10,E7_E7_11,E7_E7_12,E7_E7_13,E7_E7_14,E7_E7_15,E7_E7_16,E7_E7_17,E7_E7_18,E7_A1+D6_1,E7_A1+D6_2,E7_A1+D6_3,E7_A1+D6_4,E7_A1+D6_5,E7_A1+D6_6,E7_A1+D6_7,E7_A1+D6_8,E7_A1+D6_9,E7_A1+D6_10,E7_A2+A5_1,E7_A2+A5_2,E7_A2+A5_3,E7_A2+A5_4,E7_A2+A5_5,E7_A2+A5_6,E7_2A3+A1_1,E7_2A3+A1_2,E7_2A3+A1_3,E7_2A3+A1_4,E7_2A3+A1_5,E7_A7_1,E7_A7_2,E7_A7_3,E7_A7_4,E7_A7_5,E7_A7_6,E7_A7_7,E7_A7_8,E7_A7_9
E7,['1'],['4A1'],['2A2+A1'],['A3+A2+A1'],['A4+A2'],['E7(a5)'],['A6'],['E7(a4)'],['E6(a1)'],['E7(a3)'],['E7(a3)'],['E7(a2)'],['E7(a2)'],['E7(a1)'],['E7(a1)'],['E7(a1)'],['E7(a1)'],['E7'],['1'],['4A1'],['2A2+A1'],['A3+A2+A1'],['A3+A2+A1'],['E7(a5)'],['E7(a5)'],['E7(a4)'],['E7(a4)'],['E7(a3)'],['1'],['4A1'],['2A2+A1'],['A3+A2+A1'],['A4+A2'],['E7(a5)'],['1'],['4A1'],['2A2+A1'],['A3+A2+A1'],['A4+A1'],['1'],"[""3A1'""]",['2A2+A1'],['A3+A2'],['A4+A2'],['E6(a3)'],['A6'],['A6'],['E6(a1)']
E7(a1),['A1'],['A2+3A1'],['A3+A2+A1'],['D5(a1)+A1'],['E7(a5)'],['E7(a4)'],['E6(a1)'],['E7(a3)'],['E7(a2)'],['E7(a2)'],['E7(a1)'],['E7(a1)'],['E7(a1)'],['E7'],['E7'],['E7'],['E7'],['E7'],['A1'],['A2+3A1'],['A3+A2+A1'],['D5(a1)+A1'],['E7(a5)'],['E7(a4)'],['E7(a4)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['A1'],['A2+3A1'],['A3+A2+A1'],['A4+A2'],['E7(a5)'],['E7(a5)'],['A1'],['A2+3A1'],['A3+A2+A1'],['A4+A1'],['A4+A1'],['A1'],['A2+2A1'],['A3+A2'],['A4+A2'],['E6(a3)'],['A6'],['E6(a1)'],['E6(a1)'],['E6(a1)']
E7(a2),['2A1'],['A3+2A1'],['A4+A2'],['E7(a5)'],['E7(a4)'],['E7(a3)'],['E7(a3)'],['E7(a2)'],['E7(a1)'],['E7(a1)'],['E7(a1)'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['2A1'],['A3+2A1'],['A3+A2+A1'],['E7(a5)'],['E7(a4)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['2A1'],['A3+2A1'],['A4+A2'],['E7(a5)'],['E7(a5)'],['E7(a5)'],['2A1'],['A3+2A1'],['A4+A1'],['A4+A1'],['A4+A1'],['2A1'],"[""(A3+A1)'""]",['A4+A2'],['E6(a3)'],['A6'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)']
E7(a3),['A2'],['A3+A2+A1'],['E6(a3)'],['E7(a4)'],['E6(a1)'],['E7(a2)'],['E7(a2)'],['E7(a1)'],['E7(a1)'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['A2'],['A3+A2+A1'],['E6(a3)'],['E7(a4)'],['E7(a4)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['A2'],['A3+A2+A1'],['A4+A2'],['E7(a5)'],['E7(a5)'],['E7(a5)'],['A2'],['A3+A2+A1'],['A4+A1'],['A4+A1'],['A4+A1'],['A2'],['A3+A2'],['E6(a3)'],['A6'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)']
E6,"[""3A1''""]",['A3+2A1'],['A5+A1'],['E7(a5)'],['E7(a4)'],['E7(a3)'],['E7(a3)'],['E7(a2)'],['E7(a1)'],['E7(a1)'],['E7(a1)'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],"[""3A1''""]",['A3+2A1'],['A5+A1'],['E7(a5)'],['E7(a4)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],"[""3A1''""]",['A3+2A1'],['A5+A1'],['E7(a5)'],['E7(a5)'],['E7(a5)'],"[""3A1''""]",['A3+2A1'],['A4+A1'],['A4+A1'],['A4+A1'],['2A1'],"[""(A3+A1)'""]",['A4+A2'],['E6(a3)'],['A6'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)']
D6,['A2'],['D4+A1'],['E6(a3)'],['E7(a4)'],['E6(a1)'],['E7(a2)'],['E7(a2)'],['E7(a1)'],['E7(a1)'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['A2'],['D4+A1'],['E6(a3)'],['E7(a4)'],['E7(a4)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['A2'],['A3+A2+A1'],['A4+A2'],['E7(a5)'],['E7(a5)'],['E7(a5)'],['A2'],['A3+A2+A1'],['A4+A1'],['A4+A1'],['A4+A1'],['A2'],['A3+A2'],['E6(a3)'],['A6'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)']
E6(a1),['A2+A1'],['A4+A1'],['E7(a5)'],['E6(a1)'],['E7(a3)'],['E7(a2)'],['E7(a1)'],['E7(a1)'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['A2+A1'],"['A3+A2+A1', 'A4']",['E7(a5)'],['E7(a4)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['A2+A1'],['A4+A1'],['E7(a5)'],['E7(a5)'],['E7(a5)'],['E7(a5)'],['A2+A1'],['A3+A2+A1'],['A4+A1'],['A4+A1'],['A4+A1'],['A2+A1'],['A4+A1'],['E6(a3)'],['A6'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)']
E7(a4),['A2+2A1'],['D5(a1)+A1'],['E7(a4)'],['E7(a3)'],['E7(a2)'],['E7(a1)'],['E7(a1)'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['A2+2A1'],['D5(a1)+A1'],['E7(a4)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['A2+2A1'],['A4+A2'],['E7(a5)'],['E7(a5)'],['E7(a5)'],['E7(a5)'],['A2+2A1'],['A4+A1'],['A4+A1'],['A4+A1'],['A4+A1'],['A2+2A1'],['A4+A2'],['A6'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)']
D6(a1),['A3'],['D5(a1)+A1'],['E7(a4)'],['E7(a3)'],['E7(a2)'],['E7(a1)'],['E7(a1)'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['A3'],['D5(a1)+A1'],['E7(a4)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['A3'],['A4+A2'],['E7(a5)'],['E7(a5)'],['E7(a5)'],['E7(a5)'],['A3'],['A4+A1'],['A4+A1'],['A4+A1'],['A4+A1'],['A3'],['A4+A2'],['A6'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)']
A6,['A2+3A1'],['D5(a1)+A1'],['E7(a4)'],['E7(a3)'],['E7(a2)'],['E7(a1)'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['E7'],['A2+3A1'],['D5(a1)+A1'],['E7(a4)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['E7(a3)'],['A2+3A1'],['A4+A2'],['E7(a5)'],['E7(a5)'],['E7(a5)'],['E7(a5)'],['A2+3A1'],['A4+A1'],['A4+A1'],['A4+A1'],['A4+A1'],['A2+2A1'],['A4+A2'],['A6'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6(a1)']
