orbit,E8_E8_1,E8_E8_2,E8_E8_3,E8_E8_4,E8_E8_5,E8_E8_6,E8_E8_7,E8_E8_8,E8_E8_9,E8_E8_10,E8_E8_11,E8_E8_12,E8_E8_13,E8_E8_14,E8_E8_15,E8_E8_16,E8_E8_17,E8_E8_18,E8_E8_19,E8_E8_20,E8_E8_21,E8_E8_22,E8_E8_23,E8_E8_24,E8_E8_25,E8_E8_26,E8_E8_27,E8_E8_28,E8_E8_29,E8_D8_1,E8_D8_2,E8_D8_3,E8_D8_4,E8_D8_5,E8_D8_6,E8_D8_7,E8_D8_8,E8_D8_9,E8_D8_10,E8_D8_11,E8_D8_12,E8_D8_13,E8_D8_14,E8_D8_15,E8_A1+A7_1,E8_A1+A7_2,E8_A1+A7_3,E8_A1+A7_4,E8_A1+A7_5,E8_A1+A7_6,E8_A1+A7_7,E8_A1+A7_8,E8_A1+A7_9,E8_A2+A1+A5_1,E8_A2+A1+A5_2,E8_A2+A1+A5_3,E8_A2+A1+A5_4,E8_A2+A1+A5_5,E8_A2+A1+A5_6,E8_A8_1,E8_A8_2,E8_A8_3,E8_A8_4,E8_A8_5,E8_A8_6,E8_A8_7,E8_A8_8,E8_A8_9,E8_A8_10,E8_2A4_1,E8_2A4_2,E8_2A4_3,E8_2A4_4,E8_2A4_5,E8_2A4_6,E8_D5+A3_1,E8_D5+A3_2,E8_D5+A3_3,E8_D5+A3_4,E8_D5+A3_5,E8_D5+A3_6,E8_D5+A3_7,E8_D5+A3_8,E8_E6+A2_1,E8_E6+A2_2,E8_E6+A2_3,E8_E6+A2_4,E8_E6+A2_5,E8_E6+A2_6,E8_E6+A2_7,E8_E6+A2_8,E8_E6+A2_9,E8_E6+A2_10,E8_E6+A2_11,E8_E6+A2_12,E8_E7+A1_1,E8_E7+A1_2,E8_E7+A1_3,E8_E7+A1_4,E8_E7+A1_5,E8_E7+A1_6,E8_E7+A1_7,E8_E7+A1_8,E8_E7+A1_9,E8_E7+A1_10,E8_E7+A1_11,E8_E7+A1_12,E8_E7+A1_13,E8_E7+A1_14,E8_E7+A1_15,E8_E7+A1_16,E8_E7+A1_17,E8_E7+A1_18
E8,['1'],['4A1'],['2A2+2A1'],['2A3'],['A4+A3'],['E8(a7)'],['A6+A1'],['A7'],['E8(b6)'],['E8(a6)'],['E8(a6)'],['E8(a5)'],['E8(a5)'],['E8(b4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a3)'],['E8(a3)'],['E8(a2)'],['E8(a2)'],['E8(a2)'],['E8(a2)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['1'],['4A1'],['2A2+2A1'],['2A3'],['A4+A3'],['E8(a7)'],['A6'],['A7'],['E8(b6)'],['E8(a6)'],['E8(a6)'],['E8(a5)'],['E8(a5)'],['E8(a5)'],['E8(a4)'],['1'],['4A1'],['2A2+2A1'],['A3+A2+A1'],['A4+A2+A1'],['E6(a3)+A1'],['A6+A1'],['A6+A1'],['E6(a1)+A1'],['1'],['4A1'],['2A2+2A1'],['D4(a1)+A2'],['A4+A2+A1'],['E8(a7)'],['1'],['4A1'],['2A2+A1'],['2A3'],['A4+A3'],['E7(a5)'],['A6+A1'],['A7'],['A7'],['E8(a6)'],['1'],['4A1'],['2A2+2A1'],['2A3'],['A4+A3'],['E8(a7)'],['1'],['4A1'],['2A2+2A1'],['2A3'],['A4+A3'],['E8(a7)'],['E8(a7)'],['D7(a2)'],['1'],['4A1'],['2A2+2A1'],['D4(a1)+A2'],['A4+A2+A1'],['E8(a7)'],['E8(a7)'],['D5+A2'],['E8(b6)'],['E8(b6)'],['E8(b6)'],['E8(b5)'],['1'],['4A1'],['2A2+2A1'],['D4(a1)+A2'],['A4+A2+A1'],['E8(a7)'],['A6+A1'],['D5+A2'],['E6(a1)+A1'],['D7(a1)'],['D7(a1)'],['E8(b5)'],['E8(b5)'],['E8(b4)'],['E8(b4)'],['E8(b4)'],['E8(b4)'],['E8(a3)']
E8(a1),['A1'],['A2+3A1'],['D4(a1)+A2'],['D5(a1)+A2'],['E8(a7)'],['D7(a2)'],['E8(b6)'],['E8(a6)'],['E8(b5)'],['E8(a5)'],['E8(b4)'],['E8(a4)'],['E8(a4)'],['E8(a3)'],['E8(a3)'],['E8(a2)'],['E8(a2)'],['E8(a2)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['A1'],['A2+3A1'],['D4(a1)+A2'],['D5(a1)+A2'],['E8(a7)'],['D7(a2)'],['E8(b6)'],['E8(a6)'],['E8(a6)'],['E8(a5)'],['E8(a5)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['A1'],['A2+3A1'],['A3+A2+A1'],['A4+A2+A1'],['E6(a3)+A1'],['A6+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['A1'],['A2+3A1'],['D4(a1)+A2'],['A4+A2+A1'],['E8(a7)'],['E8(a7)'],['A1'],['A2+3A1'],['A3+A2+A1'],['A4+A3'],['E7(a5)'],['A6+A1'],['A7'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['A1'],['A2+3A1'],['A3+A2+A1'],['A4+A3'],['E8(a7)'],['E8(a7)'],['A1'],['A2+3A1'],['D4(a1)+A2'],['D5(a1)+A2'],['E8(a7)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['A1'],['A2+3A1'],['D4(a1)+A2'],['D5(a1)+A2'],['E8(a7)'],['D5+A2'],['E8(b6)'],['E8(b6)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['A1'],['A2+3A1'],['D4(a1)+A2'],['D4+A2'],['E8(a7)'],['D5+A2'],['E6(a1)+A1'],['D7(a1)'],['E8(b5)'],['E8(b5)'],['E8(b4)'],['E8(b4)'],['E8(b4)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)']
E8(a2),['2A1'],['A3+2A1'],['A4+A2+A1'],['E8(a7)'],['D7(a2)'],['D7(a1)'],['E8(a6)'],['E8(a5)'],['E8(b4)'],['E8(a4)'],['E8(a4)'],['E8(a3)'],['E8(a2)'],['E8(a2)'],['E8(a2)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['2A1'],['A3+2A1'],['A4+A2'],['E8(a7)'],['D7(a2)'],['D7(a1)'],['E8(a6)'],['E8(a5)'],['E8(a5)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['2A1'],['A3+2A1'],['A4+A2+A1'],['E6(a3)+A1'],['A6+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['2A1'],['A3+2A1'],['A4+A2+A1'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['2A1'],['A3+2A1'],['A4+A2'],['E7(a5)'],['A6+A1'],['A7'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['2A1'],['A3+2A1'],['A4+A2+A1'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['2A1'],['A3+2A1'],['A4+A2'],['E8(a7)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['2A1'],['A3+2A1'],['A4+A2+A1'],['E8(a7)'],['D5+A2'],['E8(b6)'],['E8(b6)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['2A1'],['A3+2A1'],['A4+A2+A1'],['E8(a7)'],['D5+A2'],['D7(a1)'],['D7(a1)'],['E8(b5)'],['E8(b4)'],['E8(b4)'],['E8(b4)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)']
E8(a3),['A2'],['A3+A2+A1'],['E6(a3)+A1'],['D5+A2'],['E8(b6)'],['E8(b5)'],['E8(a5)'],['E8(b4)'],['E8(a4)'],['E8(a3)'],['E8(a3)'],['E8(a2)'],['E8(a2)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['A2'],['A3+A2+A1'],['E6(a3)+A1'],['D5+A2'],['E8(b6)'],['E8(a6)'],['E8(a5)'],['E8(a5)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['A2'],['A3+A2+A1'],['E6(a3)+A1'],['A6+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['A2'],['A3+A2+A1'],['E6(a3)+A1'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['A2'],['A3+A2+A1'],['A5+A1'],['A6+A1'],['A7'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['A2'],['A3+A2+A1'],['A4+A3'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['A2'],['A3+A2+A1'],['D5(a1)+A2'],['D5+A2'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['A2'],['A3+A2+A1'],['E6(a3)+A1'],['D5+A2'],['E8(b6)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['A2'],['A3+A2+A1'],['E6(a3)+A1'],['D5+A2'],['E6(a1)+A1'],['E8(b5)'],['E8(b5)'],['E8(b4)'],['E8(b4)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)']
E8(a4),['A2+A1'],['A4+2A1'],['E8(a7)'],['E8(b6)'],['E8(a6)'],['E8(a5)'],['E8(a4)'],['E8(a4)'],['E8(a3)'],['E8(a2)'],['E8(a2)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['A2+A1'],['A4+2A1'],['E8(a7)'],['A7'],['E8(a6)'],['E8(a5)'],['E8(a5)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['A2+A1'],['A4+2A1'],['E6(a3)+A1'],['A6+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['A2+A1'],['A4+2A1'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['A2+A1'],['A4+2A1'],['E7(a5)'],['A7'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['A2+A1'],['A4+2A1'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['A2+A1'],['A4+2A1'],['E8(a7)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['A2+A1'],['A4+2A1'],['E8(a7)'],['E8(b6)'],['E8(b6)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['A2+A1'],['A4+2A1'],['E8(a7)'],['E6(a1)+A1'],['D7(a1)'],['E8(b5)'],['E8(b4)'],['E8(b4)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)']
E7,['A2'],['D4+A1'],['E6(a3)+A1'],['D5+A2'],['E8(b6)'],['E8(b5)'],['E8(a5)'],['E8(b4)'],['E8(a4)'],['E8(a3)'],['E8(a3)'],['E8(a2)'],['E8(a2)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['A2'],['D4+A1'],['E6(a3)+A1'],['D5+A2'],['E8(b6)'],['E8(a6)'],['E8(a5)'],['E8(a5)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['A2'],['A3+A2+A1'],['E6(a3)+A1'],['A6+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['A2'],['A3+A2+A1'],['E6(a3)+A1'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['A2'],['A3+A2+A1'],['A5+A1'],['A6+A1'],['A7'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['A2'],['A3+A2+A1'],['A4+A3'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['A2'],['D4+A1'],['D5(a1)+A2'],['D5+A2'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['A2'],['D4+A1'],['E6(a3)+A1'],['D5+A2'],['E8(b6)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['A2'],['D4+A1'],['E6(a3)+A1'],['D5+A2'],['E6(a1)+A1'],['E8(b5)'],['E8(b5)'],['E8(b4)'],['E8(b4)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)']
E8(b4),['A2+2A1'],['D4+A2'],['D5+A2'],['D7(a1)'],['E8(b5)'],['E8(b4)'],['E8(a4)'],['E8(a3)'],['E8(a2)'],['E8(a2)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['A2+2A1'],['D4+A2'],['D5+A2'],['D7(a1)'],['E8(a6)'],['E8(a5)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['A2+2A1'],['A4+A2+A1'],['A6+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['A2+2A1'],['A4+A2+A1'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['A2+2A1'],['A4+A2'],['A6+A1'],['A7'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['A2+2A1'],['A4+A2+A1'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['A2+2A1'],['D4+A2'],['D5+A2'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['A2+2A1'],['D4+A2'],['D5+A2'],['E8(b6)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['A2+2A1'],"['D5(a1)+A1', 'A4+A2+A1']",['D5+A2'],['D7(a1)'],['E8(b5)'],['E8(b4)'],['E8(b4)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)']
E8(a5),['2A2'],['D6(a2)'],['D7(a2)'],['E8(a6)'],['E8(a5)'],['E8(a4)'],['E8(a3)'],['E8(a2)'],['E8(a2)'],['E8(a1)'],['E8(a1)'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['2A2'],['D6(a2)'],['D7(a2)'],['E8(a6)'],['E8(a5)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['2A2'],['A5+A1'],['A6+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['2A2'],['A5+A1'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['2A2'],['A5+A1'],['A6+A1'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['2A2'],['A4+A3'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['2A2'],['D5(a1)+A2'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['2A2'],"['A5+A1', 'D5(a1)+A2']",['D5+A2'],['E8(b6)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['2A2'],['D6(a2)'],['D5+A2'],['D7(a1)'],['E8(b5)'],['E8(b4)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)']
E7(a1),['A3'],['D4+A2'],['D5+A2'],['D7(a1)'],['E8(b5)'],['E8(b4)'],['E8(a4)'],['E8(a3)'],['E8(a2)'],['E8(a2)'],['E8(a1)'],['E8(a1)'],['E8(a1)'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['A3'],['D4+A2'],['D5+A2'],['D7(a1)'],['E8(a6)'],['E8(a5)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['A3'],['A4+A2+A1'],['A6+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['A3'],['A4+A2+A1'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['A3'],['A4+A2'],['A6+A1'],['A7'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['A3'],['A4+A2+A1'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['A3'],['D4+A2'],['D5+A2'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['A3'],['D4+A2'],['D5+A2'],['E8(b6)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['A3'],['D4+A2'],['D5+A2'],['D7(a1)'],['E8(b5)'],['E8(b4)'],['E8(b4)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)']
D7,['2A2'],['D6(a2)'],['D7(a2)'],['D7'],['E8(a5)'],['E8(a4)'],['E8(a3)'],['E8(a2)'],['E8(a2)'],['E8(a1)'],['E8(a1)'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['E8'],['2A2'],['D6(a2)'],['D7(a2)'],['D7'],['E8(a5)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['E8(a4)'],['2A2'],['A5+A1'],['A6+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['E6(a1)+A1'],['2A2'],['A5+A1'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['2A2'],['A5+A1'],['A6+A1'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['E8(a6)'],['2A2'],['A4+A3'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['E8(a7)'],['2A2'],['D6(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['D7(a2)'],['2A2'],"['A5+A1', 'D5(a1)+A2']",['D5+A2'],['E8(b6)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['E8(b5)'],['2A2'],['D6(a2)'],['D5+A2'],['D7(a1)'],['E8(b5)'],['E8(b4)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)'],['E8(a3)']
